A,,01,,,,,,,,,,,,
A00/09,,,,,,,,,,,,,,
B92,,,,,,,,,,,,,,
B93,,,,,,,,,,,,,,
B94,,,,,,,,,,,,,,
B95,,65.060.70,65.060.80,,,,,,,,,,,
B96,,,,,,,,,,,,,,
B97,,,,,,,,,,,,,,
C,,11,,,,,,,,,,,,
C00/09,,,,,,,,,,,,,,
C00,,,,,,,,,,,,,,
C01,,,,,,,,,,,,,,
C02,,,,,,,,,,,,,,
C04,,,,,,,,,,,,,,
C05,,07.100.10,11.020,,,,,,,,,,,
C06,,,,,,,,,,,,,,
C07,,35.240.80,,,,,,,,,,,,
C08,,,,,,,,,,,,,,
C10/29,,,,,,,,,,,,,,
C10,,01.040.11,11.120,11.120.01,11.120.10,11.120.99,,,,,,,,
C11,,,,,,,,,,,,,,
C12,,,,,,,,,,,,,,
C13,,,,,,,,,,,,,,
C14,,,,,,,,,,,,,,
C15,,,,,,,,,,,,,,
C16,,,,,,,,,,,,,,
C17,,,,,,,,,,,,,,
C18,,,,,,,,,,,,,,
C19,,,,,,,,,,,,,,
C20,,,,,,,,,,,,,,
C21,,,,,,,,,,,,,,
C23,,,,,,,,,,,,,,
C25,,,,,,,,,,,,,,
C27,,,,,,,,,,,,,,
C30/49,,11.040,,,,,,,,,,,,
C30,,11.040.01,11.040.99,,,,,,,,,,,
C31,,11.040.20,,,,,,,,,,,,
C32,,11.040.70,,,,,,,,,,,,
C33,,11.060,11.060.01,11.060.10,11.060.20,,,,,,,,,
C35,,11.040.30,11.040.40,,,,,,,,,,,
C36,,,,,,,,,,,,,,
C37,,,,,,,,,,,,,,
C38,,11.040.55,,,,,,,,,,,,
C39,,,,,,,,,,,,,,
C40,,,,,,,,,,,,,,
C41,,11.040.60,,,,,,,,,,,,
C42,,,,,,,,,,,,,,
C43,,11.040.50,,,,,,,,,,,,
C44,,11.100,,,,,,,,,,,,
C45,,,,,,,,,,,,,,
C46,,11.040.10,11.160,,,,,,,,,,,
C47,,11.080,11.080.01,11.080.10,11.080.20,11.080.30,11.080.99,11.140,,,,,,
C48,,11.120.20,,,,,,,,,,,,
C50/64,,,,,,,,,,,,,,
C50,,,,,,,,,,,,,,
C51,,,,,,,,,,,,,,
C52,,,,,,,,,,,,,,
C53,,,,,,,,,,,,,,
C54,,,,,,,,,,,,,,
C55,,,,,,,,,,,,,,
C56,,,,,,,,,,,,,,
C57,,,,,,,,,,,,,,
C59,,,,,,,,,,,,,,
C60,,,,,,,,,,,,,,
C61,,,,,,,,,,,,,,
C62,,,,,,,,,,,,,,
C63,,11.200,,,,,,,,,,,,
C65/74,,13.100,,,,,,,,,,,,
C65,,,,,,,,,,,,,,
C66,,13.110,,,,,,,,,,,,
C67,,,,,,,,,,,,,,
C68,,13.260,,,,,,,,,,,,
C69,,13.340,13.340.01,13.340.99,,,,,,,,,,
C70,,,,,,,,,,,,,,
C71,,13.140,13.160,13.280,,,,,,,,,,
C72,,,,,,,,,,,,,,
C73,,13.340.10,13.340.20,13.340.30,13.340.40,13.340.50,,,,,,,,
